                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     35,                 2.0293,                 2.3564,                 1.8688,                0.72889,                0.16408,                0.12829,                0.05248,                0.72637,                0.77465,                0.72711,               0.003268,               0.003268,               0.003268
                     36,                 2.0267,                 2.3401,                 1.8682,                 0.7303,                0.16344,                 0.1293,                0.05285,                0.72619,                 0.7723,                0.72635,                0.00307,                0.00307,                0.00307
                     37,                 2.0149,                 2.3347,                 1.8631,                0.73155,                0.16275,                 0.1301,                0.05315,                0.72588,                0.77021,                0.72578,               0.002872,               0.002872,               0.002872
                     38,                 2.0022,                 2.2994,                 1.8516,                0.73078,                0.16419,                0.13145,                0.05359,                0.72585,                 0.7678,                 0.7254,               0.002674,               0.002674,               0.002674
                     39,                 1.9889,                 2.3006,                 1.8388,                0.73194,                0.16333,                0.13253,                0.05411,                0.72561,                0.76499,                0.72483,               0.002476,               0.002476,               0.002476
                     40,                 1.9627,                 2.1908,                 1.8533,                0.73215,                0.16407,                0.13398,                0.05454,                0.72536,                0.76222,                0.72436,               0.002278,               0.002278,               0.002278
                     41,                 1.9561,                 2.1664,                 1.8418,                0.73499,                0.16427,                0.13508,                0.05505,                0.72523,                0.75922,                0.72402,                0.00208,                0.00208,                0.00208
                     42,                 1.9408,                 2.1329,                 1.8211,                0.73722,                0.16375,                0.13704,                0.05571,                0.72524,                0.75664,                0.72376,               0.001882,               0.001882,               0.001882
                     43,                 1.9305,                 2.1156,                 1.8221,                0.73889,                0.16343,                0.13824,                0.05622,                 0.7252,                0.75389,                0.72346,               0.001684,               0.001684,               0.001684
                     44,                 1.9244,                 2.1012,                 1.8177,                0.73807,                0.16409,                0.13887,                0.05657,                0.72512,                0.75132,                0.72297,               0.001486,               0.001486,               0.001486
                     45,                 1.9115,                 2.0722,                 1.8052,                0.73856,                0.16472,                0.13959,                0.05696,                0.72504,                0.74918,                0.72232,               0.001288,               0.001288,               0.001288
                     46,                 1.9034,                 2.0456,                 1.7924,                0.74027,                0.16382,                0.14144,                0.05768,                0.72489,                0.74704,                0.72164,                0.00109,                0.00109,                0.00109
                     47,                 1.8889,                 2.0242,                  1.775,                0.74254,                 0.1636,                0.14292,                0.05821,                 0.7248,                0.74458,                0.72099,               0.000892,               0.000892,               0.000892
                     48,                 1.8865,                 2.0098,                 1.7735,                0.74176,                0.16604,                 0.1437,                0.05875,                 0.7247,                0.74223,                0.72027,               0.000694,               0.000694,               0.000694
                     49,                 1.8741,                 1.9842,                 1.7615,                0.74328,                0.16581,                0.14506,                0.05928,                0.72455,                0.74019,                0.71972,               0.000496,               0.000496,               0.000496
